"Profil","Lieu_de_recherche","Disponibilité","Points_forts","Expérience","Compétence"
"A la recherche d'un emploi en data science/ML","France entière","immédiate","Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Lire et interpréter des données et documents techniques au besoin en anglais
Python
Réaliser une veille documentaire
Système d'exploitation Unix","UPMC Licence Mathématiques

|
Bac+3, Bac+4 ou équivalentsCette Formation contient une pièce jointe","Analyse statistique
Apprentissage automatique (machine learning)
C/C++
Langages de programmation informatique
Modélisation statistique
Python
Système d'exploitation Unix
Système de Gestion de Bases de Données (SGBD)"
"Ingénieur statisticien/Data scientist","France entière","immédiate","Organiser son travail selon les priorités et les objectifs
S'adapter aux changements
Travailler en équipe
Big data Analytics
Python","Formation MaiMoSiNe, Université de Grenoble/CNRS, France

|
Bac+5 et plus ou équivalents","Analyse statistique
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Gestion de version GIT
(Avancé)
GitLab
(Avancé)
HTML
(Débutant)
Python
(Avancé)"
"DATA ANALYST / DATA SCIENTIST","France entière","immédiate","Organiser son travail selon les priorités et les objectifs
Travailler en équipe
Business Intelligence (BI) / Informatique décisionnelle
Analyse statistique
Big data Analytics","Assistante Master Data

|
Carrefour Siège Social (Pôle Textile) (Paris)","Algorithmique
(Intermédiaire)
Analyse statistique
(Intermédiaire)
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Débutant)
Conception et analyse d'enquête
(Intermédiaire)
Développement économique
(Intermédiaire)
Économie du développement durable
(Intermédiaire)
Gestion budgétaire
(Intermédiaire)
Gestion commerciale, relation clients
(Avancé)
Insights marketing
(Intermédiaire)
Intelligence économique
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Logiciel de statistiques
(Intermédiaire)
Logiciels de gestion de base de données
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Modélisation statistique
(Intermédiaire)
Sciences économiques et sociales
(Intermédiaire)"
"Data analyst / analyste des risques","France entière","immédiate","Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Anglais
Français","Stratégie et Ingénierie Financière

|
Bac+5 et plus ou équivalents","Exploiter des solutions de Data Science ou d'Intelligence Artificielle"
"Data Scientist","France entière","immédiate","Data engineer
Apprentissage automatique (machine learning)
Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Python","Vision par Ordinateur: Stage de Fin d'Études

|
NextRoad (La Verrière)","Apprentissage automatique (machine learning)
(Avancé)
Big data Analytics
CSS
Gestion de version GIT
GitHub
HTML
J2EE
Java
(Avancé)
MySQL
Oracle
Python
(Avancé)
Realflow
SQL"
"Linguiste informaticien / Linguistic Data Scientist","France entière","immédiate","Créer et tester des algorithmes d’apprentissage automatique (machine learning, deep learning…)
Exploration de données (data mining)
Modélisation et simulation
Python
Anglais","Évaluation de la qualité linguistique de textes générés par de grands modèles de langue (LLMs)

|
Ministère des Armées (Paris)","Analyse statistique
(Intermédiaire)
Apprentissage automatique (machine learning)
(Intermédiaire)
Exploration de données (data mining)
(Intermédiaire)
Histoire
(Débutant)
Langages de programmation informatique
(Avancé)
Linguistique
(Avancé)
Littérature
(Débutant)
Modélisation et simulation
(Intermédiaire)
Modélisation statistique
(Intermédiaire)
Python
(Avancé)
Sciences humaines et sociales
(Intermédiaire)
Statistiques
(Intermédiaire)
Système d'exploitation Unix
(Intermédiaire)
Système de Gestion de Bases de Données (SGBD)
(Intermédiaire)"
"Data Engineer","France entière","immédiate","Cloud computing
Data engineer
Déployer, intégrer un logiciel, un système d'informations, une application
Gérer et maitriser des bases de données (SQL/NoSQL)
Informatique scientifique et technique","Master M2 en Intelligence Artificielle et Big data

|
Bac+5 et plus ou équivalents","Algorithmique
Business Intelligence (BI) / Informatique décisionnelle
Cloud computing
Informatique scientifique et technique
Intelligence artificielle
Langages de programmation informatique
Python"
"Data Engineer / Big Data Analyst","France entière","immédiate","Apache Spark
Big data Analytics
Python
SQL","Data Engineer

|
Sopra Steria","Apache
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
HTML
(Avancé)
Informatique de gestion
(Avancé)
Intelligence artificielle
(Intermédiaire)
Java
(Intermédiaire)
Langages de programmation informatique
Logiciels de gestion de base de données
(Avancé)
Python
(Avancé)
Script Shell
(Intermédiaire)
SQL
(Avancé)
Technologie de l'internet
(Intermédiaire)"
"Ingénieur optique - data scientist","France entière","immédiate","Faire preuve de rigueur et de précision
Data Science
Intelligence artificielle
Python
Anglais","Data scientist

|
Bac+5 et plus ou équivalents","Intelligence artificielle
(Avancé)
Langages de programmation informatique
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Python
(Avancé)"
"Data Scientist Professionnel certifié Datacamp et Master spécialisé Économétrie, Big Data et Statistique, je suis à la recherche de mon premier CDI/CDD en tant que Data Scientist à partir de  11/2024.","France entière","immédiate","Créer et tester des algorithmes d’apprentissage automatique (machine learning, deep learning…)
Data visualisation
Développement et Déploiement de modèles
IA générative (NLP, LLMs)
Traitements de textes, Traitements d'images","Double Cursus de Master 1-2 et Magistère Ingénieur 2-3 en Économétrie, Big Data et Statistique

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Adapter les outils de traitement statistique de données
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Avancé)"
"En recherche d'un poste dans les domaines Data Analyste / Business Analyst / Coordinateur ADV","France entière","immédiate","Utiliser les outils numériques
Adapter les outils de traitement statistique de données
Big data Analytics
data visualisation
Anglais","Databird data analyse - Bootcamp","Développer un portefeuille clients et prospects
Élaborer une stratégie commerciale
Établir un devis
Mettre en oeuvre des actions commerciales et promotionnelles
Réaliser une veille de marché, une veille concurrentielle
Suivre une audience Web"
"Data science engineer","France entière","immédiate","Data engineer
Business Intelligence (BI) / Informatique décisionnelle
Intégrer des outils IA/Data Science","data science engineer intern

|
carbon insight (vienna)","Algorithmique
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Exploration de données (data mining)
(Avancé)
Intelligence artificielle
Maîtrise d’un outil de gestion de flux (Kafka, Flink…)
Python
Système d'exploitation Linux
Technologies HADOOP
Technologies SPARK (Framework)"
"Ingénieure Data Scientist","France entière","immédiate","Apprentissage automatique (machine learning)
Big data Analytics
Modélisation statistique
Python
SQL","Ingénieur mathématiques spécialisation data science (INSA Rouen)

|
Bac+5 et plus ou équivalents","Analyse statistique
Apprentissage automatique (machine learning)
Big data Analytics
Gestion de version GIT
(Avancé)
Java
Modélisation et simulation
Modélisation statistique
Python
(Avancé)
Système de Gestion de Bases de Données (SGBD)"
"Jeune ingénieur diplômé en Sciences Numériques| Passionné par l'IA et l'Analyse de Données","France entière","immédiate","Big data Analytics
Faire preuve d'autonomie
Faire preuve de créativité, d'inventivité
Apprentissage automatique (machine learning)
Modélisation mathématique","École Nationale Supérieure d'Électricité et de Mécanique

|
Bac+5 et plus ou équivalents","Analyse statistique
Apprentissage automatique (machine learning)
(Avancé)
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
C/C++
Docker
(Intermédiaire)
Gestion de version GIT
(Avancé)
GitLab
(Avancé)
Java
(Intermédiaire)
JIRA
(Intermédiaire)
Maîtrise d’un outil de gestion de flux (Kafka, Flink…)
(Intermédiaire)
Microsoft Exchange Server
(Intermédiaire)
Modélisation et simulation
Modélisation statistique
Python
(Avancé)
Scala
(Intermédiaire)
SharePoint
(Intermédiaire)
SQL
(Avancé)
Technologies HADOOP
(Avancé)
Technologies SPARK (Framework)
(Avancé)"
"Docteur Informatique","France entière","immédiate","S'adapter aux changements
Exploration de données (data mining)
Langages de programmation informatique
Réaliser une étude
Rédiger de l'information","Chercheur post-doctoral

|
Université Paris Cité / CEA (Commissariat à l'énergie atomique et aux énergies alternatives) (Paris)","Algorithmique
Analyse statistique
Big data Analytics
Exploration de données (data mining)
Ingénierie des architectures distribuées
Langages de programmation informatique
Logiciel de statistiques
Logiciels de gestion de base de données
Séries temporelles
Statistiques
Suite bureautique - LibreOffice
Systèmes d'exploitation informatique"
"Ingénieure d'État en Statistiques et Économie Appliquée","France entière","immédiate","Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Modélisation statistique
Anglais","M2 Big data, Analyse et Business Intelligence

|
Bac+5 et plus ou équivalents","Analyse statistique
Apprentissage automatique (machine learning)
Big data Analytics
Modélisation et simulation
Modélisation statistique
Python"
"Étudiant en Ingénierie Logiciel | Développeur Passionné par l'Innovation et les Solutions Numériques","France entière","immédiate","Application web
Architecture web
Programmation logicielle
Python
Intégrer des outils IA/Data Science","Licence Dévelopement Logiciel à l’ESIEA

|
Bac+3, Bac+4 ou équivalents","Analyser, exploiter, structurer des données
(Intermédiaire)
Assembler des composants logiciels
(Avancé)
Coder
(Avancé)
Concevoir l'architecture d'un système, d'un réseau
(Intermédiaire)
Concevoir la cartographie fonctionnelle du SI
(Intermédiaire)
Concevoir une application web
(Avancé)
Créer une documentation technique
(Avancé)
Développer une application en lien avec une base de données
(Avancé)
Développer un logiciel, un système d'informations, une application
(Avancé)
Gérer et déployer des logiciels à distance
(Avancé)
Intégrer des outils IA/Data Science
(Intermédiaire)
Mettre en place une blockchain (protocoles, consensus etc.)
(Débutant)
Paramétrer un logiciel, un outil, un système numérique
(Avancé)
Piloter des évolutions ou des paramétrages à apporter aux composants
(Débutant)
Réaliser des études d'organisation et d'évolution de systèmes d'information
(Débutant)
Réaliser des études et développements informatiques
(Intermédiaire)
Réaliser la mise en production de solutions logicielles dans un environnement d'exploitation
(Intermédiaire)
Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...)
(Intermédiaire)
Tester un logiciel, un système d'informations, une application
(Intermédiaire)
Vérifier la compatibilité des développements produits avec les spécifications
(Intermédiaire)"
"Ingénieur industriel","France entière","immédiate","Data engineer
Anglais
Arabe
Français
B - Véhicule léger","Management de la transition industrielle

|
Bac+5 et plus ou équivalents","Business Intelligence (BI) / Informatique décisionnelle
Gestion des flux de production
Google Analytics
Ingénierie mécanique
Management de la chaîne logistique (Supply chain management)
Progiciel de gestion Sage 100
Progiciel de gestion SAP BW
Python
Sciences et techniques de l'ingénieur
SharePoint
SQL
Suite bureautique - LibreOffice"
"Développeur Python","France entière","immédiate","Exploration de données (data mining)
Concevoir, réaliser et mettre en place une procédure d'automatisation
Python","Expert en Systèmes d’Informations

|
Bac+5 et plus ou équivalents","Analyse statistique
(Intermédiaire)
Exploration de données (data mining)
(Intermédiaire)
Python
(Avancé)
SQL
(Intermédiaire)
Visual Basic for Applications (VBA)
(Avancé)"
"À la recherche de mon premier emploi dans l'analyse de données","France entière","immédiate","Analyser, exploiter, structurer des données
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Mettre en place des outils d'aide à la décision
Modélisation statistique","Diplôme d'ingénieur en Informatique et CyberSécurité

|
Bac+5 et plus ou équivalents","Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Langages de programmation informatique
Modélisation et simulation
Modélisation statistique"
"technicien supérieur en informatique et ingénierie des données","France entière","immédiate","Algorithmique
Analyser, exploiter, structurer des données
Apprentissage automatique (machine learning)
Gérer et maitriser des bases de données (SQL/NoSQL)
Intégrer des outils IA/Data Science","Stagiaire en Ingénierie des Données

|
CNRS, Laboratoire de Recherche en Sciences Végétales (LRSV) - Plateforme Métatoul (Auzeville-Tolosane, 31320 France)Cette Expérience contient une pièce jointe","Ada
Algorithmique
Analyse statistique
Anglais technique
Apache
Application web
Apprentissage automatique (machine learning)
Architecture web
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
C/C++
Cloud computing
Comptabilité générale
Cryptologie
CSS
Génie logiciel
Gestion budgétaire
Gestion de version GIT
HTML
Informatique scientifique et technique
Intelligence artificielle
J2EE
Java
Javascript
Langages de programmation informatique
Logiciel de statistiques
Logiciels de gestion de base de données
Modélisation statistique
MySQL
Oracle
PL/SQL
Prolog
Python
React.js
Script Shell
SQL
Système d'exploitation Linux
Système d'exploitation Unix
Système d'exploitation Windows
Système de Gestion de Bases de Données (SGBD)
Visual Basic
XML"
"Chargée d'études Statistiques \ Programmeur SAS VBA \gestionnaire Base de Données","France entière","immédiate","Big data Analytics
EXCEL
Logiciels de gestion de base de données
SAP
SQL","GESTIONNAIRE BASE DE DONNEES

|
UNICID (PARIS)","Algorithmique
(Avancé)
Analyse statistique
(Avancé)
Big data Analytics
(Débutant)
Langages de programmation informatique
(Avancé)
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Logiciel tableur
(Avancé)
Statistiques
(Intermédiaire)
Système de Gestion de Bases de Données (SGBD)"
"Scientifique de données","France entière","immédiate","Data engineer
Apprentissage automatique (machine learning)
MySQL
Python
Visualisation des données (Power BI)","Data Manager

|
Conception et mise en place de système de gestion de base (Strasbourg)","Analyse statistique
(Intermédiaire)
Apprentissage automatique (machine learning)
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Centres d'analyse
Cloud computing
(Débutant)
Docker
(Intermédiaire)
Gestion de version GIT
(Intermédiaire)
Maîtrise des méthodes de résolution de problèmes
(Avancé)
MySQL
(Avancé)
Progiciel de gestion SAS Statistiques
(Débutant)
Python
(Avancé)"
"Ingénieur en Intelligence Artificielle, à la recherche d'un emploi dans l’univers de l’IA et de l'innovation","France entière","immédiate","Prendre des initiatives et être force de proposition
Créer et tester des algorithmes d’apprentissage automatique (machine learning, deep learning…)
Développer l’industrialisation de modèles statistiques ou de machine learning
Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Python","Ingénieur en intelligence artificielle

|
TIPIFIT (Brest)","Apprentissage automatique (machine learning)
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Débutant)
Intelligence artificielle
(Intermédiaire)
JIRA
(Débutant)
Python
(Avancé)
SQL
(Intermédiaire)"
"Double Casquette: CRM, Communication et Data Analyst Junior","France entière","immédiate","Gérer et maitriser des bases de données (SQL/NoSQL)
Python
Management électronique de relation client (e-CRM)
Mener une campagne d'e-mailing
Mettre en place des solutions de suivi (tracking) pour analyser le trafic d'un site et les comportements de navigation des visiteurs","POEC DATA ANALYST - Passage de certification Tosa Python","Analyse statistique
E-commerce
(Intermédiaire)
Logiciel de gestion clients
(Avancé)
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
(Intermédiaire)
Management électronique de relation client (e-CRM)
(Avancé)
Python
(Intermédiaire)"
"Data Scientist, PO et PMO junior","France entière","immédiate","","Mastère spécialisé Manager de portefeuille de projets

|
Bac+5 et plus ou équivalents","Apprentissage automatique (machine learning)
C/C++
Intelligence artificielle
Modélisation et simulation
Modélisation statistique
Python
Système de Gestion de Bases de Données (SGBD)"
"À la recherche d'un poste dans la Finance ou la Data, tout en restant ouvert à tous domaines où mes compétences pourraient être utiles et mises à contribution","France entière","immédiate","Gestion des risques (Risk Management)
Modélisation économique
Calculs financiers
Économétrie
Mathématiques financières","Ingénieur Statisticien & Data Scientist Finance | Stage

|
EMCS (MALTE)","Analyse des risques financiers
(Avancé)
Calculs financiers
(Avancé)
Gestion des risques (Risk Management)
Modélisation économique
Réglementation bancaire
(Avancé)"
"Ingénieur en Énergie & Data Science, à la recherche d’un emploi.","France entière","immédiate","Concevoir et gérer un projet
Élaborer des propositions techniques
Identifier les contraintes d'un projet
Organiser son travail selon les priorités et les objectifs
Déterminer des axes d'évolution technologiques","valide

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Concevoir et gérer un projet
Identifier les contraintes d'un projet"
"Data Analyst/Data Scientist Junior à la recherche d'un CDD/CDI ou d'une reconversion en DevOps / Ingénieur Cloud (POEI)","France entière","immédiate","Adapter les outils de traitement statistique de données
Présenter et diffuser les résultats des études réalisées
Réaliser une étude
Rédiger de l'information","Stage Data Scientist

|
CIRAD (Montpellier , France)","Apprentissage automatique (machine learning)
(Avancé)
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Modélisation et simulation
(Avancé)
Modélisation statistique
(Avancé)"
"Développeur Big data expérimenté désireux d'explorer de nouvelles opportunités à l'international","France entière","immédiate","","IoT et Big Data","Adobe Première Pro
(Avancé)
Application web
CSS
(Avancé)
Framework Zend
(Débutant)
HTML
(Avancé)
Illustrator
(Avancé)
Java
(Avancé)
Javascript
(Avancé)
JQuery
(Avancé)
Microsoft PowerPoint
(Avancé)
Microsoft SQL Server
(Avancé)
MySQL
(Avancé)
Node.js
(Avancé)
Oracle
(Avancé)
Photoshop
(Avancé)
PHP
(Avancé)
Python
(Avancé)
Techniques d'écobuage
(Avancé)
XML
(Avancé)"
"Je suis jeune diplômé en Data Engineering et IA et je suis à la recherche d'un CDI pour appliquer et approfondir mes compétences afin de construire une carrière professionnelle robuste.","France entière","immédiate","Faire preuve d'ouverture d'esprit et d'impartialité en étant factuel
Maîtrise des méthodes de résolution de problèmes
Microsoft Azure
Prompt Engineering
Python","Stage de fin d'étude Data Engineer

|
STMicroelectronics (Rousset, Provence-Alpes-Côte d'Azur)","Apache
Apprentissage automatique (machine learning)
Business Intelligence (BI) / Informatique décisionnelle
Docker
Gestion de version GIT
IBM Rational Team Concert (RTC)
Java
JIRA
Kubernetes
Maîtrise des méthodes de résolution de problèmes
Node.js
Python
SQL"
"Ingénieur des matériaux/ Analyste Data données","France entière","immédiate","Faire preuve de réactivité
Faire preuve de rigueur et de précision
Langages de programmation informatique
Progiciels de gestion intégrée d'entreprise (ERP)","PROFesseur

|
EDUCATION NATIONALECette Expérience contient une pièce jointe","Conception de Fabrication Assistée par Ordinateur (CFAO)
(Avancé)
Conception et Dessin Assistés par Ordinateur (CAO/DAO)
(Avancé)
Langages de programmation informatique
(Intermédiaire)
Logiciel de traitement de texte
(Avancé)
Logiciel tableur
(Avancé)
Méthodes et outils de résolution de problèmes
(Avancé)
Modélisation et simulation
(Avancé)
Progiciels de gestion intégrée d'entreprise (ERP)
(Avancé)
Technologie de Groupe Assistée par Ordinateur (TGAO)
(Intermédiaire)"
"Très passionnée par l’ingénierie des données, axée sur les résultats, experte en extraction d’insights exploitables et en traitement et analyse des données. Data Engineer/Analyst/BI Consultant","France entière","immédiate","","Data & Analytics Engineer

|
 (France-Paris)","Analyse d'incidents
(Avancé)
Apprentissage automatique (machine learning)
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Cloud computing
(Avancé)
CSS
(Avancé)
Docker
(Avancé)
HTML
(Avancé)
Information Technology Infrastructure Library (ITIL)
(Avancé)
Java
(Avancé)
JIRA
(Avancé)
JQuery
(Avancé)
Maîtrise des bases de données et gestion de bases de données
(Avancé)
Maîtrise des méthodes de résolution de problèmes
(Avancé)
Mathématiques
Microsoft Exchange Server
Microsoft SQL Server
MySQL
Négociation
Oracle
Outils de data management
PHP
Pratique du basket-ball
Python
Scala
Script Shell
SQL
(Avancé)
Système d'exploitation Unix
Technologies SPARK (Framework)"
"Ingénieure en Science des Données et Data Engineering | Déploiement de Solutions Innovantes","France entière","immédiate","","Data Analyst & Data Scientist

|
Enedis (Lyon)","Java
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Microsoft Excel
(Avancé)
MySQL
(Avancé)
Outils de data management
(Avancé)
Pascal
(Avancé)
Python
(Avancé)
Scala
(Intermédiaire)
SharePoint
(Avancé)
SQL
(Avancé)"
