Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
Data Scientist Junior – Passionné par l'Analyse de Données et le Machine Learning,France entière,immédiate,,"
Data Scientist

|
INNOVATIF (Paris, FRANCE)","Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Gestion de bases de données NoSQL
Gestion de la relation client (CRM)
(Débutant)
Gestion de versions de logiciels de jeux
GitHub
Langages de programmation informatique
Logiciels de gestion de base de données
Microsoft Excel
Node.js
PL/SQL
Programmation en JavaScript
(Intermédiaire)
Programmation en Python
React.js
Salesforce
Techniques de résolution de problèmes
XML"
Chargé d'études statistiques/Data Analyst,France entière,immédiate,,"
Master Econométrie Et Statistiques

|
Bac+5 et plus ou équivalents","Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Gestion budgétaire
Gestion de linéaires
Informatique
(Intermédiaire)
Intelligence économique
Langages de programmation informatique
Microsoft Excel
(Intermédiaire)
Modélisation et simulation
Modélisation statistique
Progiciel de gestion SAS Statistiques
(Intermédiaire)
Programmation en Python
(Intermédiaire)
Statistiques appliquées
(Intermédiaire)"
Directeur Digital & Data | Directeur Marketing | Directeur Media | Directeur Communication,France entière,immédiate,"Animer, coordonner une équipe
Gestion de projet
Techniques de marketing digital
E-BUSINESS
MEDIA","
Directeur Media

|
AXA France (Nanterre)","Gestion de projet
Marketing des réseaux sociaux
Marketing mobile
Stratégies de vente en ligne
Techniques de marketing digital"
"Nouvellement certifié Data Scientist , je suis actuellement en recherche d'un emploi dans une entreprise ou start-up qui cherche un passionné du Machine learning et de l'Intelligence artificielle.",France entière,immédiate,"Faire preuve d'autonomie
Faire preuve de réactivité
Gérer son stress
S'adapter aux changements
Identifier les contraintes d'un projet","Data Scientist 
Cette Formation contient une pièce jointe","Conseiller des apprenants dans l'organisation de leur travail personnel
(Avancé)
Définir la progression pédagogique
(Avancé)
Enseigner, transmettre des connaissances, développer des compétences
(Avancé)
Renseigner des supports d'évaluation scolaire
(Avancé)"
Data Analyst,France entière,immédiate,,"
Data Analyst BI

|
Orange Business (Massy (IDF))","Application des méthodes de machine learning dans BI
Business Intelligence (BI) / Informatique décisionnelle
Microsoft Excel
Programmation en Python"
Testeur de logiciel en devenir à la recherche d'une alternance de 18 mois,France entière,immédiate,"Faire preuve d'autonomie
Anglais niveau avancé B2
Utiliser les outils numériques","
Professeur des écoles 

|
Éducation nationale  (Seine Saint Denis)","Adapter l'apprentissage selon la progression pédagogique, les difficultés rencontrées
(Intermédiaire)
Collecter des informations pour préparer une séquence de formation, une leçon
(Avancé)
Concevoir des supports et outils pédagogiques (matériel pédagogique, logiciel éducatif, sujet d'examen)
(Avancé)
Concevoir l'ingénierie de formation et les séquences pédagogiques
(Avancé)
Conseiller des apprenants dans l'organisation de leur travail personnel
(Avancé)
Définir la progression pédagogique
(Avancé)
Définir un objectif d'apprentissage et le programme des activités pédagogiques
(Avancé)
Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux
(Avancé)
Enseigner, transmettre des connaissances, développer des compétences
(Intermédiaire)
Mesurer les progrès de l'apprentissage
(Avancé)
Renseigner des supports d'évaluation scolaire
(Intermédiaire)"
Chargé d'Études Actuarielles | Modélisation des Risques | Tarification Santé & Prévoyance | Solvabilité II,France entière,immédiate,"comptes de résultats
Provisionnement
Réaliser des calculs de rentabilité de produits d'assurance ou d'épargne
Solvabilité
tarification en assurance vie et non vie","
Ingénierie Statistique Economique de la Finance de l'assurance et du Risque

|
Bac+5 et plus ou équivalents","Analyse de données expérimentales
(Avancé)
Connaissance des produits financiers
(Intermédiaire)
Économétrie
(Avancé)
Finance
(Intermédiaire)
Modélisation et simulation
(Avancé)
Science actuarielle
(Intermédiaire)
Utilisation de logiciels statistiques
(Intermédiaire)"
A la recherche d'un emploi en tant que business analyst  / consultant en business intelligence,France entière,immédiate,,"
Amélioration et déploiement d’une base de données RH

|
INRAE - Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement  (Lyon , France)","Cuire des viandes, poissons ou légumes
Doser des ingrédients culinaires
Dresser des plats pour le service
Préparer les viandes et les poissons
Réaliser les mesures et les analyses, identifier des non-conformités et réaliser des ajustements techniques
Relever les données et les consigner dans les cahiers de laboratoire, les bases de données, les registres, les comptes rendus"
Ingénieur en développement JAVA,France entière,immédiate,"Faire preuve de curiosité
S'adapter aux changements
Travailler en équipe","
Ingénieur en informatique

|
CGI (Toulouse)","Application web
(Avancé)
Architecture MVC (Modèle - Vue - Contrôleur)
(Avancé)
Framework Hibernate
(Avancé)
Framework Spring
(Avancé)
Java
(Avancé)
Outil Maven
(Avancé)
Utilisation de frameworks de test
(Avancé)"
Directeur marketing et expérience client international,France entière,immédiate,"Mettre en oeuvre les actions de transformation nécessaires aux changements
Concevoir et gérer un projet
Marketing / Mercatique
Recueillir et analyser les besoins client
Stratégie marketing client","
Senior advisor

|
Missions freelance","Concevoir la campagne promotionnelle d'un produit
(Avancé)
Contractualiser une prestation
(Avancé)
Coordonner les opérations marketing d'un site Internet
(Avancé)
Élaborer une stratégie commerciale
(Avancé)
Élaborer une stratégie de marketing digital
(Avancé)
Élaborer un plan marketing, une stratégie de marque et de communication
(Avancé)
Mener des enquêtes de satisfaction client
(Avancé)
Mettre en oeuvre des actions commerciales et promotionnelles
(Avancé)
Prospecter de nouveaux clients, de nouveaux marchés
(Avancé)
Réaliser une étude marketing
(Avancé)"
Analyste financier / financière,France entière,immédiate,,"
CONSULTANT EN STRATÉGIE, MANAGEMENT ET ORGANISATION

|
FREELANCE (Paris)","Analyse de données financières
Analyse des risques financiers
Étude prospective
Gestion de projet
Marketing / Mercatique
Modélisation économique"
Développeuse BI,France entière,immédiate,"Business Intelligence (BI) / Informatique décisionnelle
Langages de programmation informatique
Mettre en place des outils d'aide à la décision
Gestion de bases de données NoSQL
QlikView","
Master Specialise En Business Intelligence - Ufr Mim ( Metz )

|
Bac+5 et plus ou équivalents","Alias studio tools
Business Intelligence (BI) / Informatique décisionnelle
Gestion de bases de données NoSQL
Intelligence artificielle
Langages de programmation informatique
Modélisation et simulation
Oracle
Professionnel SPSS
Programmation en Python
SharePoint
Techniques d'exploration de données (data mining)"
Chef de projet SAP,France entière,immédiate,"Gestion de projet
Recueillir et analyser les besoins client
Allemand
Anglais
B - Véhicule léger","
MASTER EN SCIENCES DE GESTION DU MANAGEMENT

|
Bac+5 et plus ou équivalents","Analyse de données expérimentales
Centrales d'achat
(Avancé)
Gestion administrative
Logiciel de traitement de texte
(Avancé)
Merchandising / Marchandisage
Statistiques appliquées
Utilisation de logiciels de tableur
(Avancé)"
Chargé Marketing Digital,France entière,immédiate,"Copywriting
Marketing des réseaux sociaux
Optimisation SEO pour le multimédia
Produire et promouvoir un contenu communicant
Anglais","
Master en Marketing digital, e-business et brand management

|
Bac+5 et plus ou équivalents","Adobe Première Pro
(Avancé)
Google Analytics
(Avancé)
Graphisme
(Intermédiaire)
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
(Avancé)
Photoshop
(Avancé)
Pratique de l'anglais
(Avancé)
WordPress (CMS)
(Avancé)"
"Préparateur physique, analyste de performance, formateur, sport de haut niveau, management, état optimal de performance, certifié ""Flow"".",France entière,immédiate,,"
Certification à l'utilisation du bilan InterQualia

|
Bac+5 et plus ou équivalents","Activités de remise en forme
Anatomie humaine
Conception de programmes de formation
Diététique
Logiciel de traitement de texte
(Avancé)
Neurosciences du sport
Physiologie
Pratique de la musculation
Pratique du cyclisme
Pratique du fitness
Procédures d'urgence et de premiers secours
Sociologie
Sociologie des organisations
Techniques d'entraînement sportif
Utilisation de logiciels de tableur
(Avancé)"
Contrôleur / Contrôleuse de gestion financière,France entière,immédiate,"Analyse de données expérimentales
Analyse de données financières
Comptabilité analytique
Statistiques appliquées","
Responsable administratif et financier

|
Liss et associes","Analyse de données expérimentales
Comptabilité analytique
Gestion budgétaire
Statistiques appliquées"
Cadre technico-commercial / technico-commerciale,France entière,immédiate,,"
commerciale

|
holosfind","Développer et fidéliser la relation client
Élaborer une stratégie commerciale
Mettre en oeuvre des actions commerciales et promotionnelles"
"Recherche d’un poste dans les domaines de l’informatique, l'acoustique et l’ingénierie sonore.",France entière,immédiate,"Reaper - Logic Pro X - Ableton
Fmod - Wwise
C - C++ - C#
Unity
Anglais","
Développeur d'applications
","Appréciation auditive
C#
CSS
Gestion de bases de données NoSQL
HTML
Informatique scientifique et technique
Java
Langage C++
Langages de programmation informatique
Logiciels de montage
PHP
Programmation en Python
(Intermédiaire)
Programmation logicielle
Script Shell
Son
Systèmes d'exploitation informatique"
"Ingénieur agronome, projet de développement agricole",France entière,immédiate,"S'adapter aux changements
Assister techniquement une collectivité, un industriel
Gestion de projet
Concevoir et gérer un projet
Sensibiliser un public","
Consultant indépendant: développement agricole, ingénierie de formation, data analyst

|
AGADO-Consulting (Europe, Afrique, Asie)","Collecter des informations pour préparer une séquence de formation, une leçon
Concevoir l'ingénierie de formation et les séquences pédagogiques
Définir des besoins en développement des compétences
Définir un objectif d'apprentissage et le programme des activités pédagogiques
Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux
Enseigner, transmettre des connaissances, développer des compétences
(Intermédiaire)
Organiser et piloter un programme de formation
(Intermédiaire)
Réaliser un bilan de compétences"
"Préparateur physique, spécialisé en analyse de données pour la performance sportive.",France entière,immédiate,"Concevoir et mettre en place un programme de préparation physique
Faire preuve d'autonomie
Faire preuve de curiosité
Mobiliser des savoirs scientifiques pluridisciplinaires
S'adapter aux changements","
Préparateur physique / Personal Trainer indépendant

|
JEROME MULLER EI (Break Hossegor, Soorts-Hossegor)",Concevoir et mettre en place un programme de préparation physique
Developpeur Backend/Fullsack,France entière,immédiate,"Informatique
Micro-informatique
JS
Python
SQL","
2022    Data Engineer – Travel Planet – Sophia Antipolis, France (5 mois)
","Électricité
Informatique
Logiciel de traitement de texte
(Intermédiaire)
Micro-informatique
Suite bureautique - LibreOffice
(Avancé)
Système d'exploitation Windows
Système informatique (embarqué ou fixe)
Utilisation de logiciels de tableur
(Intermédiaire)"
"Acheteur junior, passionné et motivé",France entière,immédiate,,"
Acheteur junior

|
3D-TEX (Saint-malo)","Élaborer une stratégie d'achat, optimiser la procédure d'achat
Évaluer des fournisseurs, sous-traitants, prestataires
(Débutant)
Identifier et sélectionner des fournisseurs, sous-traitants, prestataires
(Intermédiaire)
Lancer et gérer un appel d'offres
(Débutant)"
Responsable Recrutement - Directrice de Ressources Humaines,France entière,immédiate,Recruter et intégrer une personne,"
Senior Talent Acquisition Manager 

|
Rain (France)","Analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle
(Avancé)
Concevoir des référentiels d'emplois et de compétences
(Avancé)
Concevoir et piloter une politique de gestion des ressources humaines
(Avancé)
Construire un plan de développement professionnel continu
(Avancé)
Définir des besoins en matière d'évolution professionnelle
(Avancé)
Déployer des outils de Gestion prévisionnelle des Emplois et des Compétences (GPEC)
(Débutant)
Établir une grille de rémunération
(Débutant)
Gérer les carrières
(Avancé)
Réaliser des opérations de sourcing
(Avancé)
Recruter et intégrer une personne
(Avancé)
Sélectionner des candidats pour un poste
(Avancé)
Techniques commerciales
Techniques de communication orales, écrites et numériques
Veiller à maintenir un climat social favorable
(Intermédiaire)"
Emploi dans l'insertion / Ou dans le secteur public,France entière,immédiate,,"
Responsable de site Paris & responsable pédagogique

|
Wake up Café (Paris)","Définir une ligne éditoriale
Définir une stratégie de communication
Réaliser des actions de relation publique, de diffusion et de promotion de l'information
Rédiger des communiqués de presse
Rédiger le contenu d'un support de communication
Rédiger un article, un contenu éditorial"
je cherche un travail en tant que traductrice français wofof,France entière,immédiate,,"
informaticienne : développement du site internet HTML

|
Magasin de la Fête - Ormes","Conception de sites web
(Avancé)
Gestion de la relation client (CRM)
(Avancé)
HTML
(Avancé)
Image de synthèse
(Avancé)
Linguistique
(Avancé)
Logiciel de traitement de texte
(Avancé)
Photoshop
(Avancé)
Pratique de langues étrangères
(Avancé)
Systèmes d'information de gestion
(Avancé)
Typographie
(Avancé)
Utilisation de logiciels de tableur
(Avancé)"
Ingénieur technico-commercial / Ingénieure technico-commerciale en informatique,France entière,immédiate,"Analyser les données de vente pour identifier les opportunités de croissance
Négocier un contrat
Procédures d'appels d'offres
Anglais
Espagnol","
Commercial

|
Revionics Inc","Assurer un service après-vente
(Avancé)
Développer et fidéliser la relation client
(Avancé)
Effectuer une démonstration devant un client ou un public
(Avancé)
Élaborer, adapter une proposition commerciale
(Avancé)
Élaborer une stratégie commerciale
(Avancé)
Établir un devis
(Avancé)
Mettre en oeuvre des actions commerciales et promotionnelles
(Avancé)
Négocier des conditions commerciales
(Avancé)
Prospecter de nouveaux clients, de nouveaux marchés
(Avancé)
Réaliser une action de merchandising
(Avancé)"
A la recherche d'une opportunité de carrière en tant que PMO ou chef de projet dans le secteur du luxe,France entière,immédiate,"Compétences analytiques
Développer et gérer des relations interpersonnelles
Gestion de projet
Management
Anglais","
Directrice des opérations

|
Glady (ex-Wedoogift)","Animer des commissions
(Avancé)
Développer et gérer des relations interpersonnelles
(Avancé)"
ENSEIGNANT-FORMATEUR MATIERES GENERALES,France entière,immédiate,,"
formation continue responsable ressources humaines

|
Bac+3, Bac+4 ou équivalents","Animer des activités culturelles et artistiques
Concevoir et animer des activités sportives
Gestion de projet
Méthodes d'analyse (systémique, fonctionnelle, de risques, ...)
Méthodes de prospective"
Développeur logiciel,France entière,immédiate,"S'adapter aux changements
Travailler en équipe
Concevoir une application web
Recueillir et analyser les besoins client
Réaliser un diagnostic technique","
Développeur back end python

|
Continental-corporation  (Toulouse - Haute-Garonne)Cette Expérience contient une pièce jointe","Rédiger un cahier des charges, des spécifications techniques"
"Développeur Full Stack | Solutions Web Axées sur les Données | Stack MERN, Next.js et Technologies Cloud",France entière,immédiate,"Travailler en équipe
Node.js
React
React Native
Anglais","
Hetic, Paris, Ile-de-france - Master Data Et Intelligence Artificielle.

|
Bac+5 et plus ou équivalents","Android Native Development Kit (NDK)
(Avancé)
Big data Analytics
(Intermédiaire)
Développement d'applications mobiles
(Avancé)
Gestion de données
(Intermédiaire)
Intelligence artificielle
(Intermédiaire)
Logiciels de gestion de base de données
(Avancé)
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
(Avancé)
MySQL
(Avancé)
Node.js
(Avancé)
Programmation en Python
(Avancé)
Technologies HADOOP
(Intermédiaire)"
Manoeuvre de chantier,France entière,immédiate,"Faire preuve de persévérance
Faire preuve de rigueur et de précision
Travailler en équipe
Engin de chantier (CACES R 482) - Depuis le 01/01/2020
B - Véhicule léger","
Manœuvre 

|
CFM Solar (Aubignosc)","Entretien de véhicules
(Avancé)
Gestes et postures de manutention
(Avancé)
Techniques culturales
(Débutant)
Techniques de soins aux arbres ou ceps
(Débutant)
Techniques de taille de végétaux
(Intermédiaire)"
Ingénieur FullStack .Net core Angular,France entière,immédiate,"ASP.NET
Business Intelligence (BI) / Informatique décisionnelle
C#
Gestion de bases de données NoSQL
PHP","
Développeur Backend c# .Net Core

|
Education4Sight : https://education4sight.com/ (Route Taniour, Sfax, Tunisie)Cette Expérience contient une pièce jointe","Algorithmique
Apache
(Avancé)
Architecture web
(Avancé)
ASP.NET
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
C#
(Avancé)
CSS
(Avancé)
Gestion de bases de données NoSQL
(Avancé)
Gestion des configurations
(Avancé)
HTML
(Avancé)
Informatique scientifique et technique
(Avancé)
PHP
(Avancé)
Progiciels de gestion intégrée d'entreprise (ERP)
(Avancé)
Programmation logicielle
(Avancé)
Systèmes d'exploitation informatique
(Avancé)
Systèmes d'information de gestion
(Avancé)"
vendeuse conseil en magasin,France entière,immédiate,"Vendre ou louer des produits ou des services
Assurer le suivi des stocks en temps réel
Organiser, aménager un espace de vente","
STAGE VENDEUSE CONSEILS EN MAGASIN

|
ORCHESTRA (CLAIRA 66)","Aménagement d'espaces intérieurs
(Intermédiaire)
Argumentation commerciale
(Intermédiaire)
Décoration d'intérieur
(Intermédiaire)
Gestion de l'inventaire
(Intermédiaire)
Logiciel de traitement de texte
(Intermédiaire)
Logiciels de gestion de base de données
Mise à jour des connaissances en mécanique
(Intermédiaire)
Plomberie
(Intermédiaire)"
